code,lat,lon
00AA,38.7040,-101.4739
00AK,59.9477,-151.6925
00AL,34.8648,-86.7703
00AN,59.0933,-156.4567
00AR,38.9688,-97.6023
00AS,34.9428,-97.8180
00AZ,34.3056,-112.1650
00C,37.2032,-107.8690
00CA,35.3547,-116.8853
00CL,39.4272,-121.7634
00F,45.4705,-105.4571
00FA,28.6455,-82.2190
00FL,27.2309,-80.9692
00GA,33.7675,-84.0683
00ID,48.1453,-116.2140
00IG,39.7240,-101.3960
00IL,41.9784,-89.5604
00IS,40.0256,-89.1229
00KS,38.7278,-94.9305
00KY,37.4094,-84.6197
00LS,30.1363,-92.4294
00M,31.9537,-89.2353
00MD,38.7571,-75.7538
00MN,46.3000,-95.7003
00MO,37.2028,-94.4124
00N,39.4730,-75.1843
00NC,36.0852,-78.3714
00NK,44.8119,-73.3698
00NY,42.8958,-77.4953
00OK,36.1986,-96.2177
00PN,41.2995,-80.2111
00R,30.6859,-95.0179
00S,44.1815,-122.0860
00SC,34.0094,-80.2672
00SD,44.8092,-96.4989
00TN,36.1205,-86.3595
00TS,32.6076,-97.2420
00TT,34.5166,-99.9369
00TX,32.5445,-95.6731
00U,45.7444,-107.6605
00VA,36.5750,-78.9984
00VI,36.6633,-80.4995
00W,46.6729,-117.4419
00WA,47.1784,-122.7720
00WI,44.3043,-89.0501
00WN,46.2500,-117.2490
00WV,38.8289,-79.8661
00XA,30.2240,-96.0142
01A,62.9408,-152.2697
01AA,62.0318,-158.2343
01AL,32.9460,-86.5139
01AN,61.6491,-149.3390
01B,41.3331,-85.7675
01BC,50.4694,-125.9775
01CL,38.7999,-120.7340
01D,41.4036,-85.7061
01E,41.7000,-85.0393
01F,41.5522,-84.9172
01FA,28.5894,-81.1442
01FL,28.7819,-81.1592
01G,42.7415,-78.0526
01GE,32.6751,-82.7711
01H,41.2061,-86.4044
01ID,42.6082,-112.0320
01II,39.8850,-86.5067
01IS,39.0162,-90.3182
01J,30.6856,-81.9063
01K,37.0361,-97.5853
01KS,38.5406,-97.0033
01L,41.2289,-86.5817
01LA,32.6390,-91.7737
01LL,38.1258,-89.4639
01LS,30.7225,-91.0774
01M,34.4909,-88.2010
01MD,38.9992,-76.4560
01ME,46.7789,-68.5003
01MN,47.8996,-92.5574
01MT,48.7891,-114.8800
01NC,34.4753,-77.5814
01NH,43.6445,-72.0870
01NM,33.0086,-104.5403
01NV,38.7639,-119.0270
01OK,35.8954,-96.0261
01OL,34.3917,-96.6908
01PA,40.3630,-79.1659
01PN,40.9306,-77.7389
01PS,41.5959,-76.0296
01SC,35.0321,-81.2528
01TA,30.8493,-98.2029
01TE,32.7376,-96.4280
01TN,34.9959,-89.7306
01TS,31.5653,-96.5461
01TX,33.1705,-98.6224
01U,38.8498,-115.6350
01UT,38.3083,-109.3960
01VA,39.1250,-77.9250
01WI,44.8962,-89.7193
01WY,44.3483,-104.8106
02A,32.8505,-86.6114
02AA,61.5061,-149.9128
02AK,61.8769,-150.0976
02AL,30.3715,-87.7644
02AN,59.7042,-151.2959
02AR,34.1169,-93.6965
02C,43.0902,-88.1782
02CD,34.1296,-90.5240
02CL,34.7611,-119.0590
02CO,37.6433,-106.0470
02D,41.2231,-85.8306
02FA,28.5267,-81.8748
02FD,30.9510,-86.6356
02G,40.6733,-80.6414
02GA,34.2026,-83.4290
02GE,34.1753,-84.9244
02ID,44.5555,-115.3050
02II,40.0623,-86.2105
02IN,40.2089,-85.5408
02KS,39.2214,-96.0571
02MD,38.6725,-76.7097
02ME,43.5375,-70.9307
02MI,43.1571,-85.1485
02MN,45.6297,-93.1750
02MO,39.0500,-91.0335
02MS,34.0957,-90.8461
02MT,47.9804,-104.7089
02NE,41.0745,-96.9045
02NH,44.6571,-71.2191
02NM,32.0907,-108.8707
02NV,41.2996,-118.9267
02OH,41.3764,-83.0833
02OI,41.8020,-80.5654
02OK,36.6189,-97.5350
02OR,45.6815,-121.3160
02PR,18.4649,-66.3638
02SC,32.7602,-81.2259
02T,45.7691,-112.9820
02TN,35.7804,-86.5855
02TS,28.6626,-98.7231
02UT,41.3693,-113.8410
02VA,38.4357,-77.8572
02WA,47.1523,-122.0940
02WI,45.0319,-92.6558
02WN,48.7458,-119.3190
02XA,33.5913,-95.8829
03AK,60.7272,-151.1328
03AZ,31.4310,-110.0881
03B,37.1268,-92.6216
03CO,38.0980,-106.0898
03D,40.4473,-92.2270
03FA,27.3531,-81.4081
03FL,26.7055,-82.0524
03G,42.0205,-80.0710
03GA,32.5616,-81.8551
03IA,41.1414,-95.1944
03ID,44.7940,-116.5315
03II,37.9620,-87.7789
03IL,41.4023,-87.8167
03IN,40.1800,-86.0125
03KY,37.7961,-87.5386
03M,44.3209,-69.8895
03MA,42.3934,-72.5516
03ME,44.0843,-70.6269
03MN,43.6252,-95.2247
03MO,39.2888,-93.9924
